id,mineral,tipo_eslabonamiento,etapa_proyecto,macrosector,actividad,requerimiento_o_producto,frecuencia,demanda_anual_usd_demo,participacion_catamarca_pct_demo,participacion_resto_arg_pct_demo,participacion_importada_pct_demo,empleo_local_potencial_demo,criticidad,complejidad_tecnica,capacidad_local_demo,territorio_potencial,accion_sugerida,barrera_principal,beneficio_provincial,certificaciones_referenciales,cadena_valor,fuente_conceptual,nota
68,Cobre,Hacia adelante,Fin de vida,Economía circular,Reciclaje de cobre,Recuperación de chatarra y cobre secundario,Mercado potencial,11070000.0,17,55,28,101,Media,Media,Incipiente,Capital,Circuito provincial de recuperación,Formalización y trazabilidad,Circularidad,Trazabilidad,Cobre > Reciclaje de cobre > Recuperación de chatarra y cobre secundario,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
69,Oro,Hacia atrás,Exploración,Exploración y geociencias,Cartografía y modelado geológico,Servicios geológicos y modelado 3D,Por campaña,1297000.0,29,57,14,25,Alta,Alta,Parcial,Belén,Desarrollar consultoría geológica local,Capital humano especializado,Conocimiento técnico,ISO 9001 / estándares QA-QC,Minería > Exploración y geociencias > Cartografía y modelado geológico,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
70,Oro,Hacia atrás,Exploración,Exploración y geociencias,Perforación exploratoria,Perforación diamantina / RC,Por campaña,3864000.0,20,51,29,61,Alta,Alta,Parcial,Andalgalá,Escalar perforistas y servicios auxiliares,Equipamiento y experiencia,Servicios especializados,ISO 9001 / seguridad minera,Minería > Exploración y geociencias > Perforación exploratoria,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
71,Oro,Hacia atrás,Exploración,Laboratorios,Muestreo y ensayos,Ensayos geoquímicos y mineralógicos,Por campaña,1470000.0,27,38,35,35,Alta,Alta,Parcial,Capital,Laboratorio regional acreditado,Acreditación y equipamiento,Ciencia aplicada,ISO/IEC 17025,Minería > Laboratorios > Muestreo y ensayos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
72,Oro,Hacia atrás,Exploración,Tecnología,Topografía y drones,"Levantamientos, fotogrametría y GIS",Por campaña,1064000.0,38,54,8,23,Media,Alta,Parcial,Belén,Consolidar proveedores tecnológicos,Capacitación y homologación,Economía del conocimiento,Licencias / seguridad operacional,Minería > Tecnología > Topografía y drones,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
73,Oro,Hacia atrás,Construcción,Construcción,Movimiento de suelos,"Caminos, plataformas y preparación de terrenos",Por proyecto,6294000.0,51,42,7,104,Alta,Media,Parcial,Andalgalá,Escalar contratistas locales,Flota y capital de trabajo,Empleo territorial,ISO 9001 / seguridad,Minería > Construcción > Movimiento de suelos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
74,Oro,Hacia atrás,Construcción,Construcción,Obras civiles,"Hormigón, fundaciones y edificios industriales",Por proyecto,7251000.0,45,45,10,119,Alta,Media,Parcial,Capital,Desarrollar capacidad EPC local,Escala y antecedentes,Capital físico,ISO 9001,Minería > Construcción > Obras civiles,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
75,Oro,Hacia atrás,Construcción,Metalmecánica,Estructuras metálicas,"Piping, calderería y estructuras",Por proyecto,6087000.0,18,49,33,90,Alta,Alta,Incipiente,Belén,Cluster metalmecánico provincial,Certificación de soldadura,Industrialización,AWS / ASME / ISO 3834,Minería > Metalmecánica > Estructuras metálicas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
76,Oro,Hacia atrás,Construcción,Energía,Infraestructura eléctrica,"Subestaciones, líneas, tableros y generación",Por proyecto,8149000.0,18,43,39,65,Alta,Muy alta,Incipiente,Andalgalá,Integradores eléctricos locales,Ingeniería y certificaciones,Capacidad energética,IEC / IRAM,Minería > Energía > Infraestructura eléctrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
77,Oro,Hacia atrás,Construcción,Agua,Infraestructura hídrica,"Bombas, válvulas, cañerías y plantas",Por proyecto,4589000.0,22,48,30,49,Alta,Alta,Parcial,Capital,Servicios hidráulicos regionales,Stock y soporte técnico,Infraestructura crítica,ISO / normas de presión,Minería > Agua > Infraestructura hídrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
78,Oro,Hacia atrás,Construcción,Campamentos,Infraestructura modular,"Módulos, mobiliario e instalaciones temporales",Por proyecto,3163000.0,40,45,15,58,Media,Media,Parcial,Belén,Fabricación/ensamble local,Escala productiva,Construcción local,Normas construcción / seguridad,Minería > Campamentos > Infraestructura modular,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
79,Oro,Hacia atrás,Operación,Logística,Transporte de cargas,Transporte de insumos y producto,Mensual,9023000.0,52,42,6,133,Alta,Media,Parcial,Andalgalá,Profesionalizar flotas provinciales,Financiamiento de flota,Empleo y servicios,RTO / habilitaciones,Minería > Logística > Transporte de cargas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
80,Oro,Hacia atrás,Operación,Logística,Almacenamiento,"Depósitos, stock crítico y distribución",Mensual,2614000.0,45,42,13,40,Alta,Media,Parcial,Capital,Centro logístico regional,Infraestructura y sistemas,Eficiencia logística,ISO 9001,Minería > Logística > Almacenamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
81,Oro,Hacia atrás,Operación,Mantenimiento,Mecánica industrial,"Mantenimiento de bombas, reductores y equipos",Mensual,5668000.0,35,41,24,76,Alta,Alta,Parcial,Belén,Talleres homologados,Equipamiento y certificación,Retención de gasto recurrente,ISO 9001 / OEM,Minería > Mantenimiento > Mecánica industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
82,Oro,Hacia atrás,Operación,Mantenimiento,Electricidad e instrumentación,"Motores, tableros, variadores e instrumentación",Mensual,3632000.0,22,38,40,53,Alta,Alta,Parcial,Andalgalá,Servicios eléctricos especializados,Capacitación y stock,Capital humano,IEC / seguridad eléctrica,Minería > Mantenimiento > Electricidad e instrumentación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
83,Oro,Hacia atrás,Operación,Equipamiento,Maquinaria pesada,Repuestos y componentes críticos,Mensual,8998000.0,5,33,62,45,Alta,Muy alta,Incipiente,Capital,Hub de reparación y repuestos,Escala y acuerdos OEM,Menor parada de planta,OEM / calidad,Minería > Equipamiento > Maquinaria pesada,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
84,Oro,Hacia atrás,Operación,Industria química,Reactivos e insumos,"Reactivos, cal, ácidos, soda y consumibles",Mensual,7160000.0,5,41,54,36,Alta,Muy alta,Incipiente,Belén,Blending/distribución o producción regional,"Escala, ambiente y tecnología",Sustitución competitiva,SDS / ISO 14001,Minería > Industria química > Reactivos e insumos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
85,Oro,Hacia atrás,Operación,Combustibles y lubricantes,Abastecimiento,"Combustibles, grasas y lubricantes",Mensual,5014000.0,32,58,10,35,Alta,Media,Parcial,Andalgalá,Logística y stock provincial,Seguridad y almacenamiento,Compras locales,Normas combustibles,Minería > Combustibles y lubricantes > Abastecimiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
86,Oro,Hacia atrás,Operación,Tecnología,Automatización,"SCADA, sensores, control y analítica",Mensual,3253000.0,14,28,58,32,Alta,Muy alta,Incipiente,Capital,Integradores tecnológicos locales,Talento y homologación,Economía del conocimiento,IEC / ciberseguridad,Minería > Tecnología > Automatización,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
87,Oro,Hacia atrás,Operación,Telecomunicaciones,Conectividad,"Radio, fibra, satélite y redes privadas",Mensual,1916000.0,22,38,40,23,Alta,Alta,Parcial,Belén,Operadores e integradores locales,Cobertura y SLA,Conectividad territorial,Homologaciones ENACOM,Minería > Telecomunicaciones > Conectividad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
88,Oro,Hacia atrás,Operación,Seguridad y salud,Seguridad industrial,"EPP, rescate, higiene y medicina laboral",Mensual,2294000.0,40,42,18,52,Alta,Media,Parcial,Andalgalá,Proveedores certificados,Homologación,Seguridad y empleo,ISO 45001,Minería > Seguridad y salud > Seguridad industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
89,Oro,Hacia atrás,Operación,Servicios generales,Catering,Alimentación de campamento,Mensual,3434000.0,73,23,4,115,Media,Baja,Consolidada,Capital,Integrar productores y PyME locales,Calidad y escala,Derrame directo,BPM / inocuidad,Minería > Servicios generales > Catering,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
90,Oro,Hacia atrás,Operación,Servicios generales,Hotelería y lavandería,"Alojamiento, limpieza y lavandería",Mensual,2251000.0,81,19,0,69,Media,Baja,Consolidada,Belén,Expandir capacidad local,Calidad y estacionalidad,Turismo y servicios,Habilitaciones,Minería > Servicios generales > Hotelería y lavandería,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
91,Oro,Hacia atrás,Operación,Servicios profesionales,Ingeniería y confiabilidad,"Ingeniería de procesos, activos y mantenimiento",Mensual,2618000.0,21,63,16,45,Alta,Muy alta,Parcial,Andalgalá,Centro de ingeniería minera,Experiencia sectorial,Conocimiento exportable,Matrículas / ISO,Minería > Servicios profesionales > Ingeniería y confiabilidad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
92,Oro,Hacia atrás,Operación,Servicios financieros,Seguros y financiamiento,"Seguros, leasing, garantías y factoring",Mensual,1584000.0,32,63,5,18,Media,Media,Parcial,Capital,Especialización financiera minera,Conocimiento sectorial,Servicios avanzados,Regulación financiera,Minería > Servicios financieros > Seguros y financiamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
93,Oro,Hacia atrás,Operación,Ambiente,Monitoreo ambiental,"Agua, aire, biodiversidad y emisiones",Mensual,2256000.0,32,54,14,40,Alta,Alta,Parcial,Belén,Servicios ambientales locales,Equipamiento y acreditación,Control territorial,ISO 14001 / lab,Minería > Ambiente > Monitoreo ambiental,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
94,Oro,Hacia atrás,Operación,Economía circular,Gestión de residuos,"Tratamiento, recuperación y valorización",Mensual,2373000.0,25,54,21,45,Media,Media,Parcial,Andalgalá,Plantas de tratamiento regional,Escala y permisos,Nuevos negocios verdes,Permisos ambientales,Minería > Economía circular > Gestión de residuos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
95,Oro,Hacia atrás,Operación,Educación y formación,Capacitación técnica,"Formación de operadores, técnicos y mandos",Mensual,1122000.0,67,29,4,35,Media,Media,Consolidada,Capital,Programas universidad-empresa,Currícula y docentes,Capital humano,Certificación de competencias,Minería > Educación y formación > Capacitación técnica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
96,Oro,Hacia atrás,Cierre,Ambiente,Cierre y remediación,"Cierre progresivo, revegetación y monitoreo",Por proyecto,3960000.0,31,49,20,66,Alta,Alta,Parcial,Belén,Empresas locales de cierre minero,Experiencia y garantías,Capacidad post-mina,Normativa ambiental,Minería > Ambiente > Cierre y remediación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
97,Oro,Hacia atrás,Cierre,Economía circular,Desmantelamiento,Recuperación de equipos y materiales,Por proyecto,2322000.0,40,44,16,50,Media,Media,Parcial,Andalgalá,Servicios de recuperación local,Logística y valorización,Circularidad,Seguridad / ambiente,Minería > Economía circular > Desmantelamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
98,Oro,Hacia adelante,Transformación,Metalurgia,Refinación,Refinación y lingotes,Mercado potencial,9360000.0,2,35,63,43,Alta,Muy alta,Incipiente,Capital,Servicios metalúrgicos especializados,"Seguridad, escala y habilitación",Valor agregado,Estándares bullion,Oro > Refinación > Refinación y lingotes,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
99,Oro,Hacia adelante,Transformación,Joyería y diseño,Manufactura,Joyería y manufacturas de alto valor,Mercado potencial,4320000.0,21,56,23,72,Baja,Media,Parcial,Andalgalá,Cluster de diseño y joyería,"Diseño, marca y comercialización","PyME, turismo y marca",Calidad / trazabilidad,Oro > Manufactura > Joyería y manufacturas de alto valor,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
100,Oro,Hacia adelante,Fin de vida,Economía circular,Recuperación,Recuperación de metales preciosos,Mercado potencial,2880000.0,9,60,31,30,Media,Alta,Incipiente,Capital,Recuperación especializada,Tecnología y trazabilidad,Circularidad,Permisos,Oro > Recuperación > Recuperación de metales preciosos,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
